,id,description,index
51,ca2064e8dbb4b14bd0ba9c1bc1e2405a.jpg,Blueberry Lemon Vodka Spritz • Serendipity by Sara Lynn,52
52,40adff37342b67c0e7c8ed4a75809457.jpg,Healthy Strawberry Mocktail Spritzer {Strawberry Limeade},53
53,7003e33732daf6d88b7ec6c0ac75f9e4.jpg,Caramel Apple Hot Toddy,54
54,5e5db839368d8c025da5c3aa4852a7c8--brazilian-grill-lime-drinks.jpg,"Brazilian Lemonade is a creamy, smooth refreshing lime drink native to Brazil. This version is just like the one Tucanos Brazilian Grill makes!",55
55,6ef310c129d12edb11255d3669b95d38.jpg,The Secret to Making Fancy Coffee Drinks at Home + Cinnamon Vanilla Iced Latte Recipe,56
56,833de7de08d38ead167c99aef5befb96--red-wine-cocktails-red-wine-cocktail-recipes.jpg,The Manhattan is one of the finest and oldest cocktails around. It’s a classic and sophisticated cocktail.,57
57,7a52ea1295472e69ae11c132d7494e51.jpg,Passionfruit Paloma,58
58,1539923e8dce74d45f11eecbfc5226dd.jpg,Sunset Martinis,59
59,3f6f686967cdaf8bc9609a43376cdb55--bloody-mary-mix-bloody-mary-recipes.jpg,"When you are going to indulge in a Bloody Mary drink, Go Big or Go Home!! This is THE Ultimate Bloody Mary Recipe, exploding with flavor and practically a meal in itself. No bloody mary mix required.",60
60,d6453760685405fa7e6ad13cf7214670.jpg,"These Mint + Lime Slushies are a refreshing afternoon drink made with limes, mint, a touch of honey, sparkling water and lots and lots of ice. A perfectly healthy summer drink for the entire family (and a few suggestions for boozing it up for the adults!). #slushie #summer #drinks #kids #mocktail #sugarfree #healthydrinks",61
61,b473074a7152a34a722d7bcd7569d69c.jpg,Frozen Cherry Cosmopolitan,62
62,b11efc765c6bc96f2d2a4ee2ac3f4196.jpg,How to make Starbucks Strawberry Acai Refresher or Pink Drink at Home,63
63,9f12ebfe8195f3a769c09357d06eedb6.jpg,Whipped Kool Aid : A refreshing & Unique Kool Aid drink,64
64,fa8322466b0c7f1c4e0b568d500e84b8--summer-drink-recipes-summer-drinks.jpg,Cantaloupe Melon and Kiwi Agua Fresca - Foodness Gracious,65
65,e064f751d27dc455222bf64185094bcc--cold-drinks-alcoholic-drinks.jpg,Sparkling Peach Lemonade,66
66,60bb205daf05ca572d4f4820c5f57476.jpg,Looking For Refreshing Summer Drink Recipes? One Of Our Favorite Summer Drinks Is This Cherry Limeade. It Tastes Just Like Sonic Cherry Limeade! Now You Can Make It At Home With Our Cherry Limeade Recipe! #drinkrecipes #limeade #cherrylimeade #cherry #summerdrinks #sonicdrinks #soniccherrylimeade #beverages #summerrecipes #colddrinks,67
67,ea9c7c5ea0798afefb290c6c56e9260d.jpg,"Beach Water Cocktail - just Sprite, Vodka and Rum",68
68,58c19bd687284c4e346e06d918f73d9c.jpg,"Lemon Basil Spritzer~ Non Alcoholic ""Mocktail"" #lemonbasilspritzer #nonalcoholic #mocktail #keto #holidaydrinks",69
69,65a1caf8dbf55bcb869991f91cf806a8.jpg,Corona Sunrise,70
70,029ea4320daf6afa2094acd66d23eba0.jpg,Making a caramel iced coffee in a mason jar.,71
71,bf8116737be027642020bb05b976c05b.jpg,Peach Lemonade Slush Recipe,72
72,494fc48ffdb9ce73f796fbd589ab3c06.jpg,Fuzzy Leprechaun Cocktail ~ The drink is bright green but tastes like a peach.,73
