,image_link,images_description
42,https://i.pinimg.com/236x/19/04/2e/19042e075d2220bbbffe63dacafb300d.jpg,Starbucks gummy bear refresher <3
43,https://i.pinimg.com/236x/39/78/e9/3978e9e63887ff01c99da3ce871cf8a9.jpg,Creamy Root Beer Rum Cocktail
44,https://i.pinimg.com/236x/99/c0/3d/99c03d4bdcdf9f2c36b0f56208ee1501.jpg,"These Cucumber Melon Gin Spritzers are the most refreshing summer cocktail! They're made with a cantaloupe simple syrup, fresh mint, sliced cucumber, gin of course, and a splash of soda water! #cocktail #gin #summercocktail"
45,https://i.pinimg.com/236x/e0/4c/ed/e04cedeb80c615f30c5fc812ca5582c6.jpg,How To Make Cheap Copycat Homemade Starbucks Drinks
46,https://i.pinimg.com/236x/65/ed/2b/65ed2ba0871c0d69a0e94599f107c14a.jpg,Healthy Homemade Frappuccino
47,https://i.pinimg.com/236x/09/ca/37/09ca37784083dbb0fec41578badd58e9.jpg,"This homemade mint lemonade is refreshing, tasty and perfect for summer parties. This summer drink is made with fresh lemon juice and fresh mint and only takes minutes to make. #happyfoodstube #mint #lemonade #drink #recipe #summer #healthy #detox #vegan #refreshing #paleo via @happyfoodstube"
48,https://i.pinimg.com/236x/01/dd/60/01dd601181a347987461b9e993733952.jpg,"The Sex in the Driveway cocktail recipe is a blue variation on Sex on the Beach. The difference is the stunning blue color and no cranberry juice. It's a delicious blend of peach, orange and lemon-lime."
49,https://i.pinimg.com/236x/5b/7e/ea/5b7eea318b4307a99e37dfcc9d45356d.jpg,"Swirl layers of red strawberry margarita with yellow mango margarita in this skinny frozen cocktail for a festive party drink that will wow your guests. It tastes just as good as a restaurant frozen margarita, without all the sugar! #spring #springrecipes #healthyspringrecipes #healthyspringfoods #springfoods #springrecipeideas #recipe #eatingwell #healthy"
50,https://i.pinimg.com/236x/6e/33/62/6e33625f094cf0ca5642b6c748053ea7.jpg,New York Whiskey Sour Cocktail - a classic whiskey sour gets a fruity twist with a float of red wine!  So pretty to look at and so delicious to drink!
51,https://i.pinimg.com/236x/ca/20/64/ca2064e8dbb4b14bd0ba9c1bc1e2405a.jpg,Blueberry Lemon Vodka Spritz • Serendipity by Sara Lynn
52,https://i.pinimg.com/236x/40/ad/ff/40adff37342b67c0e7c8ed4a75809457.jpg,Healthy Strawberry Mocktail Spritzer {Strawberry Limeade}
53,https://i.pinimg.com/236x/70/03/e3/7003e33732daf6d88b7ec6c0ac75f9e4.jpg,Caramel Apple Hot Toddy
54,https://i.pinimg.com/236x/5e/5d/b8/5e5db839368d8c025da5c3aa4852a7c8--brazilian-grill-lime-drinks.jpg,"Brazilian Lemonade is a creamy, smooth refreshing lime drink native to Brazil. This version is just like the one Tucanos Brazilian Grill makes!"
55,https://i.pinimg.com/236x/6e/f3/10/6ef310c129d12edb11255d3669b95d38.jpg,The Secret to Making Fancy Coffee Drinks at Home + Cinnamon Vanilla Iced Latte Recipe
56,https://i.pinimg.com/236x/83/3d/e7/833de7de08d38ead167c99aef5befb96--red-wine-cocktails-red-wine-cocktail-recipes.jpg,The Manhattan is one of the finest and oldest cocktails around. It’s a classic and sophisticated cocktail.
57,https://i.pinimg.com/236x/7a/52/ea/7a52ea1295472e69ae11c132d7494e51.jpg,Passionfruit Paloma
58,https://i.pinimg.com/236x/15/39/92/1539923e8dce74d45f11eecbfc5226dd.jpg,Sunset Martinis
59,https://i.pinimg.com/236x/3f/6f/68/3f6f686967cdaf8bc9609a43376cdb55--bloody-mary-mix-bloody-mary-recipes.jpg,"When you are going to indulge in a Bloody Mary drink, Go Big or Go Home!! This is THE Ultimate Bloody Mary Recipe, exploding with flavor and practically a meal in itself. No bloody mary mix required."
60,https://i.pinimg.com/236x/d6/45/37/d6453760685405fa7e6ad13cf7214670.jpg,"These Mint + Lime Slushies are a refreshing afternoon drink made with limes, mint, a touch of honey, sparkling water and lots and lots of ice. A perfectly healthy summer drink for the entire family (and a few suggestions for boozing it up for the adults!). #slushie #summer #drinks #kids #mocktail #sugarfree #healthydrinks"
61,https://i.pinimg.com/236x/b4/73/07/b473074a7152a34a722d7bcd7569d69c.jpg,Frozen Cherry Cosmopolitan
62,https://i.pinimg.com/236x/b1/1e/fc/b11efc765c6bc96f2d2a4ee2ac3f4196.jpg,How to make Starbucks Strawberry Acai Refresher or Pink Drink at Home
63,https://i.pinimg.com/236x/9f/12/eb/9f12ebfe8195f3a769c09357d06eedb6.jpg,Whipped Kool Aid : A refreshing & Unique Kool Aid drink
64,https://i.pinimg.com/236x/fa/83/22/fa8322466b0c7f1c4e0b568d500e84b8--summer-drink-recipes-summer-drinks.jpg,Cantaloupe Melon and Kiwi Agua Fresca - Foodness Gracious
65,https://i.pinimg.com/236x/e0/64/f7/e064f751d27dc455222bf64185094bcc--cold-drinks-alcoholic-drinks.jpg,Sparkling Peach Lemonade
66,https://i.pinimg.com/236x/60/bb/20/60bb205daf05ca572d4f4820c5f57476.jpg,Looking For Refreshing Summer Drink Recipes? One Of Our Favorite Summer Drinks Is This Cherry Limeade. It Tastes Just Like Sonic Cherry Limeade! Now You Can Make It At Home With Our Cherry Limeade Recipe! #drinkrecipes #limeade #cherrylimeade #cherry #summerdrinks #sonicdrinks #soniccherrylimeade #beverages #summerrecipes #colddrinks
